,,,Offense,,,,,,,,,Defense,,,,,,,,Disciplinary,,,
Player,Team,Pos,MIN,G,A,S,SOG,CC,P,CR,ACR,INT,TKL,TKLW,BLK,CL,CS,GC,SV,FS,FC,Y,R
Declan Rice,ENG,M,564.6,0.5,0.5,8.2,2.7,5.8,377.8,40.6,1.0,7.0,12.8,6.3,1.6,5.8,0.0,0.0,0.0,9.1,8.7,1.0,0.0
Elliot Anderson,ENG,M,564.6,0.5,0.4,7.6,2.7,5.4,377.8,4.1,1.0,7.0,12.8,6.3,1.6,5.8,0.0,0.0,0.0,9.1,8.7,1.0,0.0
Youri Tielemans,BEL,M,429.0,0.5,0.3,4.6,1.5,3.4,256.3,9.4,0.7,5.2,10.0,6.3,1.6,5.5,0.0,0.0,0.0,5.9,8.5,1.1,0.1
Amadou Onana,BEL,M,429.0,0.5,0.3,4.4,1.5,3.2,256.3,2.9,0.7,5.2,10.0,6.3,1.6,5.5,0.0,0.0,0.0,5.9,8.5,1.1,0.1
Ivan Perisic,CRO,F/M,330.1,0.5,0.6,7.4,2.4,5.0,83.5,14.2,1.8,2.2,4.6,2.9,0.1,1.2,0.0,0.0,0.0,6.7,4.7,0.5,0.0
Jordan Ayew,GHA,F,314.5,0.5,0.4,4.8,1.5,4.6,76.7,15.3,2.0,2.2,5.2,3.1,0.4,1.7,0.0,0.0,0.0,5.4,3.8,0.5,0.0
Antoine Semenyo,GHA,F/M,314.5,0.5,0.4,4.6,1.5,4.4,76.7,6.1,2.0,2.2,5.2,3.1,0.4,1.7,0.0,0.0,0.0,5.4,3.8,0.5,0.0
Marquinhos,BRA,D,587.8,0.5,0.3,4.8,1.5,2.0,406.1,0.8,0.4,7.2,9.0,5.8,3.6,21.2,0.0,0.0,0.0,5.6,6.5,1.2,0.0
Gabriel,BRA,D,587.8,0.5,0.3,4.8,1.5,2.0,406.1,0.8,0.4,7.2,9.0,5.8,3.6,21.2,0.0,0.0,0.0,5.6,6.5,1.2,0.0
Elias Achouri,TUN,F/M,237.6,0.5,0.3,4.9,1.6,3.4,50.1,4.2,1.2,1.4,3.0,1.9,0.1,1.2,0.0,0.0,0.0,5.1,2.8,0.2,0.0
Elias Saad,TUN,F,237.6,0.5,0.3,4.6,1.5,2.5,48.7,5.1,1.0,1.5,2.9,1.7,0.1,1.4,0.0,0.0,0.0,3.4,4.1,0.2,0.0
Daniel Munoz,COL,M/D,403.5,0.4,0.4,2.4,0.7,3.8,180.0,7.7,4.6,4.6,9.6,6.0,1.0,9.1,0.0,0.0,0.0,4.7,6.1,0.9,0.0
Frenkie de Jong,NED,M,459.5,0.4,0.3,4.5,1.5,3.4,287.1,3.0,0.7,5.6,10.3,6.2,1.8,5.5,0.0,0.0,0.0,6.0,9.1,1.1,0.2
Ryan Gravenberch,NED,M,459.5,0.4,0.3,4.5,1.5,3.4,287.1,3.0,0.7,5.6,10.3,6.2,1.8,5.5,0.0,0.0,0.0,6.0,9.1,1.1,0.2
Pedro Porro,ESP,D,587.3,0.4,0.7,4.9,1.5,7.0,516.4,21.7,7.9,4.8,11.6,7.8,0.7,6.8,0.0,0.0,0.0,8.0,5.9,0.4,0.0
Junya Ito,JPN,F,361.8,0.4,0.6,7.1,2.3,6.1,110.1,25.9,2.7,2.1,5.8,3.1,0.4,1.6,0.0,0.0,0.0,6.3,4.7,0.4,0.0
Malik Tillman,USA,M,361.8,0.4,0.5,6.2,2.2,5.5,104.9,7.4,2.5,2.0,5.9,2.8,0.4,1.7,0.0,0.0,0.0,6.6,4.5,0.4,0.0
Aleksandar Pavlovic,GER,M,503.9,0.4,0.4,6.9,2.4,4.8,339.1,3.6,0.9,6.1,11.7,6.8,1.5,5.5,0.0,0.0,0.0,6.8,8.8,1.3,0.1
Felix Nmecha,GER,M,503.9,0.4,0.4,6.9,2.4,4.8,339.1,3.6,0.9,6.1,11.7,6.8,1.5,5.5,0.0,0.0,0.0,6.8,8.8,1.3,0.1
Ruben Vargas,SUI,F/M,337.9,0.4,0.6,6.4,2.2,5.4,83.7,21.8,2.2,2.3,4.7,3.3,0.1,2.2,0.0,0.0,0.0,4.8,4.0,0.5,0.0
Roberto Alvarado,MEX,F/M,363.2,0.4,0.6,5.4,1.6,5.3,98.3,15.0,2.8,4.0,6.4,4.1,0.7,4.2,0.0,0.0,0.0,6.5,5.6,0.6,0.0
Maxi Araujo,URU,F/M,363.2,0.4,0.4,5.6,1.6,3.8,106.8,7.0,1.4,3.9,7.3,4.7,0.2,3.4,0.0,0.0,0.0,4.9,4.7,0.6,0.0
Johan Vasquez,MEX,D,422.3,0.4,0.2,3.0,0.9,1.1,218.1,0.5,0.2,5.5,6.2,3.7,3.3,18.1,0.0,0.0,0.0,3.5,5.1,0.9,0.0
Cesar Montes,MEX,D,422.3,0.4,0.2,3.0,0.9,1.1,218.1,0.5,0.2,5.5,6.2,3.7,3.3,18.1,0.0,0.0,0.0,3.5,5.1,0.9,0.0
Thomas Meunier,BEL,M/D,419.7,0.4,0.5,2.6,0.7,3.9,193.9,8.6,5.2,4.7,10.1,6.3,1.1,9.4,0.0,0.0,0.0,4.9,6.2,0.9,0.1
Romelu Lukaku,BEL,F,46.6,0.4,0.1,1.1,0.5,0.7,12.6,0.7,0.2,0.2,0.5,0.3,0.1,0.3,0.0,0.0,0.0,0.8,0.7,0.1,0.0
Mario Pasalic,CRO,M,330.1,0.4,0.6,6.2,2.2,5.0,81.2,11.3,2.2,2.2,4.4,3.3,0.1,2.5,0.0,0.0,0.0,4.6,3.9,0.5,0.0
Gabriel Gudmundsson,SWE,D,354.9,0.4,0.3,4.8,1.4,3.6,86.4,7.7,2.0,3.9,7.1,2.9,0.2,3.9,0.0,0.0,0.0,4.7,4.8,0.6,0.0
Romano Schmid,AUT,F/M,322.4,0.4,0.4,5.9,2.1,5.1,65.6,14.2,2.0,2.0,4.6,1.9,0.1,2.4,0.0,0.0,0.0,4.6,4.0,0.5,0.0
Johan Mojica,COL,M/D,403.5,0.4,0.4,2.1,0.5,4.0,164.3,8.8,4.1,4.0,8.3,4.8,0.7,9.9,0.0,0.0,0.0,4.0,5.9,0.4,0.0
Issa Diop,MAR,D,448.3,0.4,0.1,2.8,0.7,1.1,239.8,0.6,0.3,5.4,6.9,4.4,3.5,20.1,0.0,0.0,0.0,3.6,5.8,0.9,0.0
Chadi Riad,MAR,D,448.3,0.4,0.1,2.8,0.7,1.1,239.8,0.6,0.3,5.4,6.9,4.4,3.5,20.1,0.0,0.0,0.0,3.6,5.8,0.9,0.0
Bruno Guimaraes,BRA,M,540.8,0.4,0.4,7.2,2.4,5.3,353.0,17.4,0.9,6.7,12.7,8.6,1.5,5.7,0.0,0.0,0.0,9.1,9.5,1.4,0.0
Casemiro,BRA,M,540.8,0.4,0.4,6.9,2.4,5.1,353.0,3.7,0.9,6.7,12.7,8.6,1.5,5.7,0.0,0.0,0.0,9.1,9.5,1.4,0.0
Nicolas Otamendi,ARG,D,587.8,0.4,0.3,4.6,1.6,2.0,409.3,0.7,0.4,7.4,9.2,6.1,3.8,20.9,0.0,0.0,0.0,5.7,6.4,1.2,0.0
Lisandro Martinez,ARG,D,587.8,0.4,0.3,4.6,1.6,2.0,409.3,0.7,0.4,7.4,9.2,6.1,3.8,20.9,0.0,0.0,0.0,5.7,6.4,1.2,0.0
John McGinn,SCO,M,310.1,0.4,0.5,6.5,1.8,5.0,64.3,17.7,1.6,2.1,4.4,2.1,0.1,1.2,0.0,0.0,0.0,6.4,4.6,0.5,0.0
Keito Nakamura,JPN,F/M,370.4,0.4,0.4,5.9,1.7,3.7,107.8,8.5,2.2,3.5,7.5,4.8,0.2,3.3,0.0,0.0,0.0,4.7,5.3,0.6,0.0
Trezeguet,EGY,F/M,305.9,0.4,0.4,5.5,1.8,4.1,63.3,5.5,1.4,2.2,4.7,3.1,0.1,1.2,0.0,0.0,0.0,6.0,4.6,0.5,0.0
Emam Ashour,EGY,M,321.2,0.4,0.4,5.0,1.7,4.5,80.0,5.4,1.4,2.2,5.2,3.1,0.5,1.9,0.0,0.0,0.0,5.5,3.9,0.4,0.0
David Jurasek,CZE,D,328.8,0.4,0.3,5.1,1.3,3.3,78.5,13.6,1.6,3.6,6.7,4.5,0.2,3.7,0.0,0.0,0.0,4.0,4.7,0.6,0.0
Sander Berge,NOR,M,449.1,0.4,0.4,5.2,1.9,3.6,262.7,3.0,0.8,5.0,9.5,5.6,1.6,5.2,0.0,0.0,0.0,6.6,8.4,1.1,0.1
Kristoffer Ajer,NOR,D,488.1,0.4,0.4,3.5,1.2,1.5,302.2,0.6,0.3,5.4,6.7,3.8,3.8,19.1,0.0,0.0,0.0,4.0,5.7,0.9,0.1
Torbjorn Heggem,NOR,D,488.1,0.4,0.4,3.5,1.2,1.5,302.2,0.6,0.3,5.4,6.7,3.8,3.8,19.1,0.0,0.0,0.0,4.0,5.7,0.9,0.1
Erik Lira,MEX,M/D,388.5,0.4,0.2,4.3,1.4,2.8,189.6,2.4,0.6,5.2,8.8,5.5,1.4,4.9,0.0,0.0,0.0,5.6,7.5,1.1,0.0
Remo Freuler,SUI,M,388.5,0.4,0.2,3.8,1.2,2.7,200.8,2.5,0.6,5.5,9.1,5.7,1.5,5.1,0.0,0.0,0.0,5.4,7.5,1.0,0.0
Granit Xhaka,SUI,M,388.5,0.4,0.2,3.8,1.2,2.7,200.8,2.5,0.6,5.5,9.1,5.7,1.5,5.1,0.0,0.0,0.0,5.4,7.5,1.0,0.0
Nico Elvedi,SUI,D,422.3,0.4,0.1,2.6,0.8,1.1,231.0,0.5,0.2,5.9,6.4,3.8,3.5,19.0,0.0,0.0,0.0,3.3,5.2,0.9,0.0
Manuel Akanji,SUI,D,422.3,0.4,0.1,2.6,0.8,1.1,231.0,0.5,0.2,5.9,6.4,3.8,3.5,19.0,0.0,0.0,0.0,3.3,5.2,0.9,0.0
Daniel Svensson,SWE,D,354.9,0.4,0.4,3.9,1.2,4.9,84.5,9.0,3.9,4.4,6.8,2.8,0.7,4.9,0.0,0.0,0.0,6.2,5.9,0.6,0.0
Nuno Mendes,POR,D,492.9,0.4,0.6,3.7,0.9,6.5,233.3,28.8,6.2,4.9,9.8,5.8,0.7,9.7,0.0,0.0,0.0,5.7,5.9,0.5,0.0
Joao Cancelo,POR,D,492.9,0.4,0.5,4.0,1.2,5.7,255.5,10.8,6.9,5.6,11.3,7.3,1.0,8.9,0.0,0.0,0.0,6.6,6.1,1.0,0.0
Timothy Castagne,BEL,D,419.7,0.4,0.5,2.2,0.6,4.1,177.0,9.9,4.6,4.1,8.7,5.0,0.7,10.2,0.0,0.0,0.0,4.1,6.1,0.5,0.1
Marc Cucurella,ESP,D,587.3,0.4,0.7,4.1,1.2,7.1,471.5,13.7,7.0,4.2,10.0,6.2,0.4,7.4,0.0,0.0,0.0,6.7,5.7,0.2,0.0
Diego Gomez,PAR,M,346.6,0.4,0.4,3.9,1.2,4.4,81.6,7.2,2.3,4.3,6.8,4.7,0.9,4.9,0.0,0.0,0.0,5.6,5.7,0.7,0.0
Mauricio,PAR,F/M,346.6,0.4,0.3,4.8,1.3,3.3,83.5,6.1,1.2,3.9,7.1,5.1,0.3,3.9,0.0,0.0,0.0,4.3,4.6,0.7,0.0
David Alaba,AUT,D,403.0,0.4,0.1,2.7,0.7,1.1,180.9,7.9,0.2,5.3,6.3,2.2,3.8,21.1,0.0,0.0,0.0,3.1,5.2,0.9,0.0
Philipp Lienhart,AUT,D,403.0,0.4,0.1,2.6,0.7,1.0,180.9,0.4,0.2,5.3,6.3,2.2,3.8,21.1,0.0,0.0,0.0,3.1,5.2,0.9,0.0
Sofyan Amrabat,MAR,M,412.5,0.3,0.2,4.1,1.2,2.8,208.4,2.8,0.7,5.1,9.7,6.6,1.5,5.4,0.0,0.0,0.0,5.9,8.4,1.0,0.0
Neil El Aynaoui,MAR,M,412.5,0.3,0.2,4.1,1.2,2.8,208.4,2.8,0.7,5.1,9.7,6.6,1.5,5.4,0.0,0.0,0.0,5.9,8.4,1.0,0.0
Ben Gannon Doak,SCO,F,310.1,0.3,0.4,5.1,1.7,4.6,62.5,6.5,1.9,2.1,4.2,2.3,0.1,2.4,0.0,0.0,0.0,4.5,3.8,0.6,0.0
Reece James,ENG,D,552.3,0.3,0.6,4.4,1.4,6.5,285.8,12.1,7.6,6.3,12.9,6.4,1.2,9.8,0.0,0.0,0.0,7.6,6.3,0.8,0.0
Vladimir Coufal,CZE,D,328.8,0.3,0.4,4.3,1.1,4.6,76.7,21.7,3.2,4.0,6.4,4.2,0.7,4.6,0.0,0.0,0.0,5.3,5.7,0.6,0.0
Sergino Dest,USA,M/D,370.4,0.3,0.5,4.6,1.4,4.9,100.4,9.2,4.0,3.8,7.3,4.2,0.7,4.3,0.0,0.0,0.0,6.4,6.2,0.6,0.0
Antonee Robinson,USA,D,370.4,0.3,0.4,5.8,1.6,3.7,102.7,7.8,2.0,3.4,7.6,4.4,0.2,3.4,0.0,0.0,0.0,4.8,5.1,0.6,0.0
Ko Itakura,JPN,M/D,430.7,0.3,0.1,2.7,0.8,1.1,233.6,0.6,0.4,5.5,6.9,4.1,3.1,17.9,0.0,0.0,0.0,3.3,5.9,0.9,0.0
Takehiro Tomiyasu,JPN,D,430.7,0.3,0.1,2.7,0.8,1.1,233.6,0.6,0.4,5.5,6.9,4.1,3.1,17.9,0.0,0.0,0.0,3.3,5.9,0.9,0.0
Hiroki Ito,JPN,D,430.7,0.3,0.1,2.7,0.8,1.1,233.6,0.6,0.4,5.5,6.9,4.1,3.1,17.9,0.0,0.0,0.0,3.3,5.9,0.9,0.0
Chris Richards,USA,D,430.7,0.3,0.1,2.6,0.8,1.1,222.8,0.6,0.3,5.3,7.0,3.8,3.1,18.6,0.0,0.0,0.0,3.4,5.7,0.9,0.0
Mark McKenzie,USA,D,430.7,0.3,0.1,2.6,0.8,1.1,222.8,0.6,0.3,5.3,7.0,3.8,3.1,18.6,0.0,0.0,0.0,3.4,5.7,0.9,0.0
Tim Ream,USA,D,430.7,0.3,0.1,2.6,0.8,1.1,222.8,0.6,0.3,5.3,7.0,3.8,3.1,18.6,0.0,0.0,0.0,3.4,5.7,0.9,0.0
Denzel Dumfries,NED,M/D,449.5,0.3,0.5,2.6,0.8,4.2,217.2,8.9,5.4,5.0,10.4,6.2,1.3,9.4,0.0,0.0,0.0,5.0,6.7,0.9,0.2
Micky van de Ven,NED,D,449.5,0.3,0.5,2.3,0.6,4.4,198.3,10.3,4.8,4.4,8.9,4.9,0.8,10.2,0.0,0.0,0.0,4.3,6.4,0.5,0.1
Caleb Yirenkyi,GHA,M/D,321.9,0.3,0.3,3.5,1.0,4.0,73.4,7.6,3.1,4.2,6.5,4.5,0.7,4.6,0.0,0.0,0.0,5.2,5.2,0.6,0.0
Gideon Mensah,GHA,D,321.9,0.3,0.2,4.3,1.1,3.0,75.1,6.5,1.6,3.7,6.8,4.8,0.2,3.7,0.0,0.0,0.0,4.0,4.3,0.6,0.0
Son Heung-Min,KOR,F/M,226.8,0.3,0.3,4.1,1.2,3.7,57.9,19.7,1.4,1.6,3.8,2.0,0.3,1.2,0.0,0.0,0.0,3.7,2.8,0.3,0.0
Lee Kang-in,KOR,F/M,226.8,0.3,0.3,3.6,1.2,3.2,57.9,6.1,1.4,1.6,3.8,2.0,0.3,1.2,0.0,0.0,0.0,3.7,2.8,0.3,0.0
Ellyes Skhiri,TUN,M,226.8,0.3,0.2,3.4,1.1,3.0,59.3,3.4,0.9,1.6,3.7,2.2,0.4,1.3,0.0,0.0,0.0,3.7,2.8,0.4,0.0
Milos Degenek,AUS,D,270.0,0.3,0.1,2.7,0.7,1.0,142.8,0.6,0.3,4.8,5.5,2.9,2.4,13.6,0.0,0.0,0.0,3.5,4.8,0.9,0.0
Cameron Burgess,AUS,D,270.0,0.3,0.1,2.7,0.7,1.0,142.8,0.6,0.3,4.8,5.5,2.9,2.4,13.6,0.0,0.0,0.0,3.5,4.8,0.9,0.0
Alessandro Circati,AUS,D,270.0,0.3,0.1,2.7,0.7,1.0,142.8,0.6,0.3,4.8,5.5,2.9,2.4,13.6,0.0,0.0,0.0,3.5,4.8,0.9,0.0
Federico Valverde,URU,M,363.2,0.3,0.5,4.6,1.4,5.0,104.4,8.2,2.8,4.4,7.0,4.5,0.8,4.2,0.0,0.0,0.0,6.5,5.8,0.6,0.0
Brian Gutierrez,MEX,F/M,354.7,0.3,0.2,4.0,1.2,3.8,157.2,3.5,0.8,3.9,7.4,4.4,0.8,3.8,0.0,0.0,0.0,4.8,5.9,0.8,0.0
Alvaro Fidalgo,MEX,M,354.7,0.3,0.2,4.0,1.2,3.8,157.2,3.5,0.8,3.9,7.4,4.4,0.8,3.8,0.0,0.0,0.0,4.8,5.9,0.8,0.0
Danilo,BRA,D,529.0,0.3,0.5,4.1,1.2,6.1,267.1,10.8,6.6,6.0,12.9,8.6,1.0,9.7,0.0,0.0,0.0,7.6,6.9,1.2,0.0
Patrick Berg,NOR,M,410.0,0.3,0.4,4.8,1.6,4.9,217.9,4.2,1.0,3.8,8.0,4.6,1.0,4.0,0.0,0.0,0.0,5.6,6.6,0.8,0.1
Alan Franco,ECU,M,354.9,0.3,0.5,4.3,1.3,4.8,103.1,8.0,2.8,4.3,6.7,4.5,0.7,4.2,0.0,0.0,0.0,6.2,5.7,0.6,0.0
Nilson Angulo,ECU,F,354.9,0.3,0.4,5.5,1.6,3.8,105.5,11.7,1.4,3.8,7.0,4.8,0.2,3.3,0.0,0.0,0.0,4.7,4.7,0.6,0.0
Luka Vuskovic,CRO,D,412.6,0.3,0.1,2.8,0.7,1.1,224.0,0.6,0.3,5.7,6.1,3.9,3.4,22.2,0.0,0.0,0.0,3.2,5.0,0.9,0.0
Duje Caleta-Car,CRO,D,412.6,0.3,0.1,2.8,0.7,1.1,224.0,0.6,0.3,5.7,6.1,3.9,3.4,22.2,0.0,0.0,0.0,3.2,5.0,0.9,0.0
Merih Demiral,TUR,D,412.6,0.3,0.1,2.7,0.7,1.1,218.2,0.5,0.2,5.9,6.4,4.0,3.3,21.9,0.0,0.0,0.0,3.2,5.0,0.9,0.0
Abdulkerim Bardakci,TUR,D,412.6,0.3,0.1,2.7,0.7,1.1,218.2,0.5,0.2,5.9,6.4,4.0,3.3,21.9,0.0,0.0,0.0,3.2,5.0,0.9,0.0
Kalidou Koulibaly,SEN,D,412.6,0.3,0.1,2.6,0.7,1.0,221.3,0.5,0.2,5.9,6.4,4.2,3.5,22.1,0.0,0.0,0.0,3.3,5.4,1.0,0.0
Moussa Niakhate,SEN,D,412.6,0.3,0.1,2.6,0.7,1.0,221.3,0.5,0.2,5.9,6.4,4.2,3.5,22.1,0.0,0.0,0.0,3.3,5.4,1.0,0.0
Willian Pacho,ECU,D,412.6,0.3,0.1,2.5,0.7,1.1,228.7,0.5,0.2,5.9,6.5,4.1,3.5,18.0,0.0,0.0,0.0,3.3,5.3,1.0,0.0
Piero Hincapie,ECU,D,412.6,0.3,0.1,2.5,0.7,1.1,228.7,0.5,0.2,5.9,6.5,4.1,3.5,18.0,0.0,0.0,0.0,3.3,5.3,1.0,0.0
Nicolas Seiwald,AUT,M,370.8,0.3,0.1,3.7,1.1,2.6,157.3,2.2,0.5,5.0,8.9,3.3,1.6,5.7,0.0,0.0,0.0,5.1,7.6,1.1,0.0
Xaver Schlager,AUT,M,370.8,0.3,0.1,3.7,1.1,2.6,157.3,2.2,0.5,5.0,8.9,3.3,1.6,5.7,0.0,0.0,0.0,5.1,7.6,1.1,0.0
Joshua Kimmich,GER,M/D,492.9,0.3,0.6,4.4,1.2,6.3,256.5,28.6,6.4,5.5,11.8,6.9,1.0,9.3,0.0,0.0,0.0,5.7,6.5,1.1,0.1
Nathaniel Brown,GER,M/D,492.9,0.3,0.6,3.5,1.0,6.1,234.2,12.3,5.7,4.8,10.2,5.5,0.7,10.1,0.0,0.0,0.0,4.8,6.3,0.5,0.1
Goncalo Ramos,POR,F,54.8,0.3,0.1,1.8,0.7,1.0,16.6,0.9,0.2,0.2,0.6,0.4,0.0,0.2,0.0,0.0,0.0,1.1,0.7,0.1,0.0
Ali Ahmed,CAN,F/M,333.3,0.3,0.4,4.2,1.2,4.8,80.6,11.6,2.4,4.0,6.4,3.3,0.8,4.7,0.0,0.0,0.0,6.2,5.3,0.6,0.0
Tajon Buchanan,CAN,M,333.3,0.3,0.3,5.0,1.3,3.4,82.5,5.9,1.2,3.6,6.6,3.4,0.3,3.7,0.0,0.0,0.0,4.7,4.3,0.6,0.0
Alphonso Davies,CAN,M/D,348.9,0.3,0.2,1.7,0.4,3.2,107.4,7.1,3.4,4.1,7.6,3.5,0.7,10.0,0.0,0.0,0.0,3.7,5.1,0.5,0.0
John Souttar,SCO,D,387.6,0.3,0.1,2.3,0.6,1.0,172.6,0.4,0.2,5.5,5.7,2.7,3.8,21.2,0.0,0.0,0.0,3.1,4.9,1.0,0.0
Scott McKenna,SCO,D,387.6,0.3,0.1,2.3,0.6,1.0,172.6,0.4,0.2,5.5,5.7,2.7,3.8,21.2,0.0,0.0,0.0,3.1,4.9,1.0,0.0
Salem Al-Dawsari,KSA,F,216.0,0.3,0.2,3.6,1.0,2.5,42.6,9.4,0.8,1.6,3.3,1.7,0.1,0.8,0.0,0.0,0.0,4.1,3.2,0.5,0.0
Tshepang Moremi,RSA,M,216.0,0.3,0.2,3.5,1.0,2.3,41.9,3.4,0.8,1.6,3.2,1.7,0.1,0.8,0.0,0.0,0.0,4.3,3.2,0.5,0.0
Jovane Cabral,CPV,F/M,216.0,0.3,0.2,3.4,1.0,2.3,41.8,3.4,0.8,1.7,3.2,1.7,0.1,0.8,0.0,0.0,0.0,4.1,3.2,0.5,0.0
Achraf Hakimi,MAR,M/D,403.5,0.3,0.3,2.8,0.6,4.0,157.7,33.5,5.0,4.6,9.8,6.6,1.0,9.2,0.0,0.0,0.0,4.9,6.2,0.9,0.0
Noussair Mazraoui,MAR,D,403.5,0.3,0.3,2.1,0.5,3.6,144.0,9.6,4.5,4.0,8.5,5.3,0.7,10.0,0.0,0.0,0.0,4.2,6.0,0.4,0.0
Yasser Ahmed Ibrahim El Hanafi,EGY,D,382.3,0.3,0.1,2.2,0.6,0.9,169.7,0.4,0.2,5.7,6.2,4.0,3.6,21.5,0.0,0.0,0.0,2.9,4.9,1.0,0.0
Mohamed Abdelmonem,EGY,D,382.3,0.3,0.1,2.2,0.6,0.9,169.7,0.4,0.2,5.7,6.2,4.0,3.6,21.5,0.0,0.0,0.0,2.9,4.9,1.0,0.0
Nico Williams,ESP,F/M,65.3,0.3,0.1,2.2,0.9,1.2,33.5,10.7,0.3,0.2,0.6,0.4,0.0,0.2,0.0,0.0,0.0,1.3,0.7,0.0,0.0
Ao Tanaka,JPN,M,361.8,0.3,0.2,3.7,1.1,3.7,168.5,4.3,1.3,3.9,8.3,4.9,0.8,3.8,0.0,0.0,0.0,4.5,6.8,0.9,0.0
Theo Hernandez,FRA,M/D,572.5,0.3,0.7,4.0,1.1,7.1,265.5,14.2,6.9,5.7,11.5,8.2,0.8,11.2,0.0,0.0,0.0,6.9,6.5,0.4,0.0
Jules Kounde,FRA,D,572.5,0.3,0.6,4.7,1.4,6.7,290.8,12.4,7.8,6.5,13.3,10.3,1.1,10.2,0.0,0.0,0.0,8.1,6.7,0.8,0.0
Jesus Gallardo,MEX,M/D,380.1,0.3,0.3,2.2,0.6,3.6,131.0,8.4,3.9,4.0,7.6,4.4,0.7,9.0,0.0,0.0,0.0,4.0,5.3,0.5,0.0
Jorge Eduardo Sanchez,MEX,D,380.1,0.3,0.3,2.5,0.7,3.4,143.4,7.3,4.4,4.6,8.9,5.5,1.0,8.3,0.0,0.0,0.0,4.7,5.5,0.9,0.0
Ricardo Rodriguez,SUI,M/D,380.1,0.3,0.3,2.0,0.5,3.4,138.7,8.5,4.0,4.4,7.9,4.6,0.7,9.4,0.0,0.0,0.0,3.8,5.3,0.4,0.0
Silvan Widmer,SUI,M,380.1,0.3,0.2,2.3,0.6,3.2,151.9,7.5,4.5,5.0,9.2,5.8,1.0,8.7,0.0,0.0,0.0,4.5,5.5,0.8,0.0
Jose Maria Gimenez,URU,D,422.3,0.3,0.2,2.6,0.8,1.1,231.5,0.5,0.2,6.1,6.8,4.1,3.5,18.3,0.0,0.0,0.0,3.4,5.3,1.0,0.0
Ronald Araujo,URU,D,422.3,0.3,0.2,2.6,0.8,1.1,231.5,0.5,0.2,6.1,6.8,4.1,3.5,18.3,0.0,0.0,0.0,3.4,5.3,1.0,0.0
Hakan Calhanoglu,TUR,M,379.6,0.3,0.2,4.4,1.1,3.0,189.7,19.2,0.6,5.5,9.1,5.9,1.4,5.9,0.0,0.0,0.0,5.2,7.4,1.1,0.0
Mateo Kovacic,CRO,M,379.6,0.3,0.2,4.0,1.2,2.6,194.8,2.6,0.6,5.3,8.6,5.7,1.5,6.0,0.0,0.0,0.0,5.2,7.3,1.0,0.0
Ismail Yuksek,TUR,M,379.6,0.3,0.2,3.9,1.1,2.7,189.7,2.5,0.6,5.5,9.1,5.9,1.4,5.9,0.0,0.0,0.0,5.2,7.4,1.1,0.0
Habib Diarra,SEN,M,346.6,0.3,0.2,3.5,1.0,3.5,159.6,3.2,0.8,4.2,7.7,5.0,0.9,4.7,0.0,0.0,0.0,4.5,6.2,0.9,0.0
Idrissa Gueye,SEN,M,346.6,0.3,0.2,3.5,1.0,3.5,159.6,3.2,0.8,4.2,7.7,5.0,0.9,4.7,0.0,0.0,0.0,4.5,6.2,0.9,0.0
Pape Gueye,SEN,M,346.6,0.3,0.2,3.5,1.0,3.5,159.6,3.2,0.8,4.2,7.7,5.0,0.9,4.7,0.0,0.0,0.0,4.5,6.2,0.9,0.0
Victor Lindelof,SWE,D,412.6,0.3,0.1,2.2,0.6,1.1,187.3,0.6,0.4,6.1,6.6,2.5,3.6,21.2,0.0,0.0,0.0,3.3,5.4,1.0,0.0
Isak Hien,SWE,D,412.6,0.3,0.1,2.2,0.6,1.1,187.3,0.6,0.4,6.1,6.6,2.5,3.6,21.2,0.0,0.0,0.0,3.3,5.4,1.0,0.0
Gustaf Lagerbielke,SWE,D,412.6,0.3,0.1,2.2,0.6,1.1,187.3,0.6,0.4,6.1,6.6,2.5,3.6,21.2,0.0,0.0,0.0,3.3,5.4,1.0,0.0
Nico O'Reilly,ENG,M/D,552.3,0.3,0.7,3.8,1.1,6.9,260.9,13.8,6.8,5.5,11.1,5.1,0.8,10.6,0.0,0.0,0.0,6.5,6.2,0.4,0.0
Julian Ryerson,NOR,M/D,439.3,0.3,0.7,3.2,0.9,4.6,198.8,18.8,5.5,4.5,9.7,5.7,1.1,8.7,0.0,0.0,0.0,5.5,6.1,0.9,0.1
Jamiro Monteiro,CPV,M,226.8,0.3,0.2,3.5,1.0,2.9,52.9,11.9,0.8,1.6,3.5,1.7,0.3,1.3,0.0,0.0,0.0,3.8,2.7,0.4,0.0
Musab Al-Juwayr,KSA,M,226.8,0.3,0.2,3.2,0.9,2.7,53.9,7.9,0.8,1.5,3.6,1.7,0.4,1.2,0.0,0.0,0.0,3.8,2.7,0.4,0.0
Relebohile Mofokeng,RSA,F,226.8,0.3,0.2,3.2,1.0,2.6,52.9,3.4,0.8,1.5,3.5,1.6,0.3,1.2,0.0,0.0,0.0,3.9,2.7,0.4,0.0
Jose Luis Rodriguez,PAN,M,226.8,0.3,0.2,3.0,1.0,2.6,52.1,3.8,1.2,1.6,3.7,1.8,0.3,1.2,0.0,0.0,0.0,3.9,2.9,0.5,0.0
Ismael Diaz,PAN,F,226.8,0.3,0.2,3.0,1.0,2.6,52.1,3.8,1.2,1.6,3.7,1.8,0.3,1.2,0.0,0.0,0.0,3.9,2.9,0.5,0.0
