,,,Offense,,,,,,,,,Defense,,,,,,,,Disciplinary,,,
Player,Team,Pos,MIN,G,A,S,SOG,CC,P,CR,ACR,INT,TKL,TKLW,BLK,CL,CS,GC,SV,FS,FC,Y,R
Florian Wirtz,GER,F/M,438.2,1.1,1.3,12.5,4.7,9.1,145.4,18.7,2.6,2.5,6.3,3.5,0.1,1.2,0.0,0.0,0.0,8.8,5.7,0.6,0.1
Jamal Musiala,GER,F/M,460.1,1.1,1.1,11.0,4.5,9.7,183.7,9.6,2.6,2.5,6.9,3.5,0.5,1.8,0.0,0.0,0.0,8.1,4.7,0.5,0.1
Facundo Pellistri,URU,F/M,380.1,1.1,0.5,10.5,3.5,4.5,70.5,2.6,0.7,1.1,3.0,1.6,0.2,2.6,0.0,0.0,0.0,6.5,6.2,0.5,0.0
Breel Embolo,SUI,F,380.1,1.1,0.4,10.7,3.5,4.3,70.3,2.6,0.7,1.1,2.9,1.5,0.2,2.7,0.0,0.0,0.0,6.2,6.0,0.4,0.0
Patrik Schick,CZE,F,344.1,1.1,0.3,8.9,2.7,3.7,51.8,2.4,0.8,1.0,2.8,1.6,0.2,2.8,0.0,0.0,0.0,5.4,6.1,0.5,0.0
Andrej Kramaric,CRO,F/M,346.6,1.1,0.5,6.4,2.2,5.3,105.5,6.8,1.8,2.2,5.1,2.9,0.5,2.0,0.0,0.0,0.0,6.1,3.9,0.4,0.0
James Rodriguez,COL,F/M,376.6,1.0,1.0,7.5,2.6,7.0,128.9,24.5,1.8,2.0,5.7,3.0,0.4,1.8,0.0,0.0,0.0,6.7,4.5,0.4,0.0
Amine Gouiri,ALG,F,336.9,1.0,0.3,8.2,2.6,3.5,50.0,2.0,0.5,1.0,2.7,1.6,0.2,2.8,0.0,0.0,0.0,5.5,5.8,0.5,0.0
Bernardo Silva,POR,M,438.2,1.0,1.2,10.6,4.4,9.0,140.8,19.2,3.5,2.6,5.8,4.3,0.1,2.2,0.0,0.0,0.0,7.1,4.4,0.5,0.0
Miguel Almiron,PAR,F/M,362.7,1.0,0.4,9.2,2.9,4.1,55.1,7.6,0.6,1.1,2.9,1.7,0.3,3.0,0.0,0.0,0.0,5.7,6.0,0.5,0.0
Antonio Sanabria,PAR,F,362.7,1.0,0.4,8.9,2.9,3.9,55.1,2.2,0.6,1.1,2.9,1.7,0.3,3.0,0.0,0.0,0.0,5.7,6.0,0.5,0.0
Nicolas Jackson,SEN,F,371.4,1.0,0.4,10.3,3.4,4.2,67.3,2.3,0.7,1.1,2.8,1.7,0.2,3.1,0.0,0.0,0.0,6.1,6.2,0.5,0.0
Christian Pulisic,USA,F/M,361.8,1.0,0.6,6.8,2.2,6.0,104.9,23.0,2.5,2.0,5.9,2.8,0.4,1.7,0.0,0.0,0.0,6.6,4.5,0.4,0.0
Marko Arnautovic,AUT,F,362.7,1.0,0.3,10.3,3.3,4.3,55.1,2.3,0.6,0.9,2.8,0.9,0.3,3.0,0.0,0.0,0.0,5.9,6.0,0.4,0.0
Kevin De Bruyne,BEL,F/M,391.7,1.0,1.0,8.0,2.7,7.4,138.9,30.6,2.1,2.1,6.0,3.2,0.5,1.8,0.0,0.0,0.0,6.9,4.6,0.4,0.0
Jeremy Doku,BEL,F/M,373.0,1.0,1.0,7.7,2.9,5.9,109.9,7.8,2.1,2.1,5.4,3.2,0.2,1.1,0.0,0.0,0.0,7.5,5.5,0.5,0.0
Nicolas Gonzalez,ARG,F/M,517.3,1.0,1.6,15.6,6.6,11.2,163.1,11.4,3.6,2.4,6.2,3.9,0.1,1.8,0.0,0.0,0.0,15.1,5.0,0.4,0.0
Sadio Mane,SEN,F,363.1,1.0,0.7,8.6,3.0,5.8,88.2,7.4,2.3,1.9,4.3,2.7,0.1,1.8,0.0,0.0,0.0,8.5,4.2,0.3,0.0
Inaki Williams,GHA,F,336.9,1.0,0.3,8.0,2.5,3.5,49.6,2.4,0.7,1.0,2.8,1.7,0.2,2.8,0.0,0.0,0.0,5.2,5.6,0.5,0.0
Brahim Diaz,MAR,F/M,358.7,0.9,0.5,6.4,2.3,5.4,86.9,11.6,2.5,2.0,5.0,3.8,0.1,2.3,0.0,0.0,0.0,5.3,4.5,0.5,0.0
Marcus Rashford,ENG,F,490.9,0.9,1.4,13.2,5.3,9.8,162.0,11.0,3.0,2.9,6.9,3.3,0.1,1.2,0.0,0.0,0.0,11.8,5.6,0.4,0.0
Bruno Fernandes,POR,F/M,460.1,0.9,1.2,11.6,4.4,10.2,183.1,26.2,2.7,2.5,6.7,3.7,0.5,1.8,0.0,0.0,0.0,9.4,4.5,0.4,0.0
Raul Jimenez,MEX,F,380.1,0.8,0.5,11.9,4.1,4.6,66.4,2.5,0.7,1.0,2.8,1.5,0.2,2.5,0.0,0.0,0.0,6.5,6.0,0.4,0.0
Che Adams,SCO,F,348.9,0.8,0.3,9.3,2.7,4.0,52.5,2.2,0.6,1.0,2.5,1.1,0.3,3.0,0.0,0.0,0.0,5.8,5.6,0.5,0.0
Takefusa Kubo,JPN,F/M,361.8,0.8,0.6,6.9,2.3,5.8,110.1,20.0,2.7,2.1,5.8,3.1,0.4,1.6,0.0,0.0,0.0,6.3,4.7,0.4,0.0
Pedri,ESP,M,548.1,0.8,0.5,7.5,2.5,7.6,566.2,5.7,1.5,4.1,9.7,6.2,0.6,3.1,0.0,0.0,0.0,8.0,6.3,0.4,0.0
Ismael Saibari,MAR,F/M,403.5,0.8,0.4,11.5,3.6,4.6,73.0,2.9,0.8,0.9,3.0,1.8,0.2,2.8,0.0,0.0,0.0,6.9,6.7,0.4,0.0
Leroy Sane,GER,F/M,438.2,0.8,1.2,10.4,4.5,8.9,141.4,10.9,3.2,2.5,6.1,4.0,0.1,2.3,0.0,0.0,0.0,6.1,4.7,0.6,0.1
Nick Woltemade,GER,F,54.8,0.8,0.1,1.8,0.7,1.0,16.7,0.9,0.2,0.2,0.6,0.3,0.0,0.2,0.0,0.0,0.0,0.9,0.7,0.1,0.0
Gonzalo Plata,ECU,F/M,371.4,0.8,0.4,9.9,3.3,4.3,69.6,2.5,0.7,1.1,2.9,1.7,0.2,2.5,0.0,0.0,0.0,6.3,6.1,0.5,0.0
Michael Olise,FRA,F/M,508.9,0.8,1.5,13.0,5.2,11.1,160.2,31.5,3.9,3.0,6.9,6.0,0.1,2.5,0.0,0.0,0.0,8.7,4.9,0.5,0.0
Donyell Malen,NED,F,399.5,0.8,1.0,6.8,2.8,6.4,119.7,9.1,2.7,2.3,5.3,3.6,0.2,2.3,0.0,0.0,0.0,5.4,4.8,0.6,0.1
Yan Diomande,CIV,F,336.5,0.8,0.6,7.2,2.4,5.2,70.1,6.5,2.0,1.9,3.9,2.4,0.1,1.7,0.0,0.0,0.0,7.3,3.6,0.3,0.0
Amad Diallo,CIV,F/M,336.5,0.8,0.5,7.4,2.3,4.1,68.1,21.3,1.5,2.2,3.7,2.3,0.1,2.0,0.0,0.0,0.0,4.9,5.3,0.3,0.0
Omar Marmoush,EGY,F,344.1,0.8,0.3,9.2,2.7,3.9,51.7,8.9,0.5,1.0,2.8,1.6,0.3,3.0,0.0,0.0,0.0,5.4,5.7,0.5,0.0
Luis Diaz,COL,F/M,358.7,0.7,1.0,7.3,2.7,5.6,102.0,7.0,1.8,2.1,5.1,3.0,0.1,1.1,0.0,0.0,0.0,7.3,5.4,0.5,0.0
Kenan Yildiz,TUR,F/M,330.1,0.7,0.6,6.8,2.3,4.8,81.3,6.7,1.7,2.2,4.9,3.0,0.1,1.2,0.0,0.0,0.0,6.7,4.8,0.5,0.0
Ante Budimir,CRO,F,371.4,0.7,0.4,11.1,3.6,4.3,68.2,2.7,0.7,1.0,2.7,1.6,0.2,3.1,0.0,0.0,0.0,6.0,5.8,0.4,0.0
Lucas Paqueta,BRA,F/M,493.8,0.7,1.1,11.0,4.5,10.2,191.3,9.7,2.6,2.7,7.6,4.4,0.5,1.9,0.0,0.0,0.0,10.8,5.1,0.6,0.0
Ayase Ueda,JPN,F,387.6,0.7,0.4,11.0,3.6,4.4,71.1,3.2,1.1,1.0,3.1,1.7,0.2,2.5,0.0,0.0,0.0,6.2,6.9,0.4,0.0
Mohammed Amoura,ALG,F,329.4,0.7,0.5,6.9,2.3,4.9,65.4,6.2,1.8,1.8,4.1,2.5,0.1,1.7,0.0,0.0,0.0,7.6,4.0,0.3,0.0
Riyad Mahrez,ALG,F/M,329.4,0.7,0.5,6.9,2.1,3.8,63.5,17.1,1.4,2.0,4.0,2.4,0.1,2.0,0.0,0.0,0.0,5.1,5.7,0.3,0.0
Edin Dzeko,BIH,F,243.0,0.7,0.2,6.2,2.0,2.6,37.8,1.5,0.4,0.7,1.9,1.2,0.2,2.0,0.0,0.0,0.0,3.9,4.1,0.4,0.0
Ermedin Demirovic,BIH,F,243.0,0.7,0.2,6.2,2.0,2.6,37.8,1.5,0.4,0.7,1.9,1.2,0.2,2.0,0.0,0.0,0.0,3.9,4.1,0.4,0.0
Hwang Hee-Chan,KOR,F,243.0,0.7,0.2,6.1,1.8,2.5,37.4,1.7,0.5,0.7,2.0,1.1,0.2,1.9,0.0,0.0,0.0,3.6,4.0,0.3,0.0
Mehdi Taremi,IRN,F,243.0,0.7,0.1,5.4,1.6,2.0,34.1,1.2,0.3,0.8,2.0,1.1,0.2,2.0,0.0,0.0,0.0,3.7,3.9,0.4,0.0
Arda Guler,TUR,F/M,346.6,0.7,0.6,6.6,2.2,5.7,102.8,14.9,1.7,2.2,5.4,3.0,0.5,1.9,0.0,0.0,0.0,6.2,4.0,0.4,0.0
Luka Modric,CRO,M,379.6,0.7,0.2,4.4,1.2,2.8,194.8,17.1,0.6,5.3,8.6,5.7,1.5,6.0,0.0,0.0,0.0,5.2,7.3,1.0,0.0
Tijjani Reijnders,NED,M,419.5,0.7,1.0,7.2,2.8,6.9,155.6,8.0,2.2,2.3,6.1,3.1,0.6,1.8,0.0,0.0,0.0,7.2,4.9,0.4,0.1
Hazem Mastouri,TUN,F,243.0,0.7,0.2,5.9,1.8,2.4,38.3,1.3,0.4,0.8,2.0,1.2,0.2,2.0,0.0,0.0,0.0,3.7,4.1,0.4,0.0
Aymeric Laporte,ESP,D,652.5,0.7,0.4,5.5,1.8,2.2,785.2,0.9,0.4,5.7,8.1,5.2,2.2,14.9,0.0,0.0,0.0,5.9,5.4,0.4,0.0
Pau Cubarsi,ESP,D,652.5,0.7,0.4,5.5,1.8,2.2,785.2,0.9,0.4,5.7,8.1,5.2,2.2,14.9,0.0,0.0,0.0,5.9,5.4,0.4,0.0
Antonio Nusa,NOR,F/M,419.8,0.7,0.9,7.7,2.6,5.0,139.4,8.5,1.7,3.4,7.3,4.4,0.2,3.5,0.0,0.0,0.0,5.7,5.1,0.5,0.1
Martin Odegaard,NOR,F/M,410.0,0.7,0.4,5.3,1.6,5.3,217.9,17.5,1.0,3.8,8.0,4.6,1.0,4.0,0.0,0.0,0.0,5.6,6.6,0.8,0.1
Jhon Arias,COL,F/M,358.7,0.6,1.0,6.8,2.6,6.2,99.2,19.5,2.3,2.0,4.9,3.5,0.1,2.2,0.0,0.0,0.0,5.1,4.4,0.5,0.0
Michael Gregoritsch,AUT,F,338.6,0.6,0.4,5.9,2.1,5.2,85.2,5.9,1.6,2.0,5.3,1.7,0.5,1.9,0.0,0.0,0.0,6.0,4.1,0.4,0.0
Julian Quinones,MEX,F,363.2,0.6,0.4,6.4,1.9,3.9,100.6,6.9,1.4,3.5,6.7,4.3,0.2,3.4,0.0,0.0,0.0,4.9,4.6,0.6,0.0
